station_code,timestamp,value_cm,proces_type,hoedanigheid,quality_code,status
lobith.bovenrijn.tolkamer,2026-04-07T07:00:00.000+01:00,828.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T07:10:00.000+01:00,828.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T07:20:00.000+01:00,829.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T07:30:00.000+01:00,829.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T07:40:00.000+01:00,829.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T07:50:00.000+01:00,828.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T08:00:00.000+01:00,829.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T08:10:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T08:20:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T08:30:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T08:40:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T08:50:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T09:00:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T09:10:00.000+01:00,828.0,meting,NAP,25,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T09:20:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T09:30:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T09:40:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T09:50:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T10:00:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T10:10:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T10:20:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T10:30:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T10:40:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T10:50:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T11:00:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T11:10:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T11:20:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T11:30:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T11:40:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T11:50:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T12:00:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T12:20:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T12:30:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T12:40:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T12:50:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T13:00:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T13:10:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T13:20:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T13:30:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T13:40:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T13:50:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T14:00:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T14:10:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T14:20:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T14:30:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T14:40:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T14:50:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T15:00:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T15:10:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T15:20:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T15:30:00.000+01:00,824.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T15:40:00.000+01:00,824.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T15:50:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T16:00:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T16:10:00.000+01:00,824.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T16:20:00.000+01:00,824.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T16:30:00.000+01:00,824.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T16:40:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T16:50:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T17:00:00.000+01:00,824.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T17:10:00.000+01:00,823.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T17:20:00.000+01:00,824.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T17:30:00.000+01:00,824.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T17:40:00.000+01:00,824.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T17:50:00.000+01:00,824.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T18:00:00.000+01:00,824.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T18:10:00.000+01:00,824.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T18:20:00.000+01:00,824.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T18:30:00.000+01:00,824.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T18:40:00.000+01:00,824.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T18:50:00.000+01:00,823.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T19:00:00.000+01:00,824.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T19:10:00.000+01:00,824.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T19:20:00.000+01:00,824.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T19:30:00.000+01:00,823.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T19:40:00.000+01:00,823.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T19:50:00.000+01:00,823.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T20:00:00.000+01:00,823.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T20:10:00.000+01:00,823.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T20:20:00.000+01:00,823.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T20:30:00.000+01:00,823.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T20:40:00.000+01:00,823.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T20:50:00.000+01:00,822.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T21:00:00.000+01:00,824.0,meting,NAP,25,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T21:10:00.000+01:00,822.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T21:20:00.000+01:00,822.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T21:30:00.000+01:00,823.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T21:40:00.000+01:00,823.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T21:50:00.000+01:00,822.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T22:00:00.000+01:00,823.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T22:10:00.000+01:00,823.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T22:20:00.000+01:00,820.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T22:30:00.000+01:00,822.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T22:40:00.000+01:00,822.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T22:50:00.000+01:00,822.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T23:00:00.000+01:00,822.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T23:10:00.000+01:00,821.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T23:20:00.000+01:00,821.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T23:30:00.000+01:00,821.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T23:40:00.000+01:00,822.0,meting,NAP,00,Ongecontroleerd
